"행정구역","2024년_거주자 인구수","2024년_세대수","2024년_세대당 인구","2024년_남자 인구수","2024년_여자 인구수","2024년_남여 비율"
"서울특별시 서울특별시 광진구 (1121500000)","329,478","168,118","          1.96","157,942","171,536","          0.92"
"서울특별시 광진구 화양동(1121571000)","22,629","17,801","          1.27","10,645","11,984","          0.89"
"서울특별시 광진구 군자동(1121573000)","18,580","11,099","          1.67","9,126","9,454","          0.97"
"서울특별시 광진구 중곡제1동(1121574000)","15,020","8,599","          1.75","7,118","7,902","          0.90"
"서울특별시 광진구 중곡제2동(1121575000)","20,030","10,443","          1.92","9,426","10,604","          0.89"
"서울특별시 광진구 중곡제3동(1121576000)","15,261","8,390","          1.82","7,528","7,733","          0.97"
"서울특별시 광진구 중곡제4동(1121577000)","27,087","12,870","          2.10","13,190","13,897","          0.95"
"서울특별시 광진구 능동(1121578000)","10,850","6,419","          1.69","4,975","5,875","          0.85"
"서울특별시 광진구 광장동(1121581000)","33,554","11,727","          2.86","16,182","17,372","          0.93"
"서울특별시 광진구 자양제1동(1121582000)","21,620","11,975","          1.81","10,478","11,142","          0.94"
"서울특별시 광진구 자양제2동(1121583000)","23,171","10,782","          2.15","11,212","11,959","          0.94"
"서울특별시 광진구 자양제3동(1121584000)","26,821","10,873","          2.47","12,829","13,992","          0.92"
"서울특별시 광진구 자양제4동(1121584700)","19,502","10,818","          1.80","9,577","9,925","          0.96"
"서울특별시 광진구 구의제1동(1121585000)","22,806","13,072","          1.74","10,814","11,992","          0.90"
"서울특별시 광진구 구의제2동(1121586000)","25,095","11,331","          2.21","11,915","13,180","          0.90"
"서울특별시 광진구 구의제3동(1121587000)","27,452","11,919","          2.30","12,927","14,525","          0.89"
