"행정구역","2019년_거주자 인구수","2019년_세대수","2019년_세대당 인구","2019년_남자 인구수","2019년_여자 인구수","2019년_남여 비율"
"서울특별시 서울특별시 광진구 (1121500000)","346,032","160,232","          2.16","167,631","178,401","          0.94"
"서울특별시 광진구 화양동(1121571000)","21,568","15,725","          1.37","10,241","11,327","          0.90"
"서울특별시 광진구 군자동(1121573000)","19,532","10,413","          1.88","9,627","9,905","          0.97"
"서울특별시 광진구 중곡제1동(1121574000)","15,555","7,818","          1.99","7,619","7,936","          0.96"
"서울특별시 광진구 중곡제2동(1121575000)","21,931","10,249","          2.14","10,509","11,422","          0.92"
"서울특별시 광진구 중곡제3동(1121576000)","16,763","8,222","          2.04","8,325","8,438","          0.99"
"서울특별시 광진구 중곡제4동(1121577000)","29,677","12,900","          2.30","14,661","15,016","          0.98"
"서울특별시 광진구 능동(1121578000)","11,403","6,175","          1.85","5,260","6,143","          0.86"
"서울특별시 광진구 광장동(1121581000)","35,519","11,768","          3.02","17,177","18,342","          0.94"
"서울특별시 광진구 자양제1동(1121582000)","22,643","11,184","          2.02","10,918","11,725","          0.93"
"서울특별시 광진구 자양제2동(1121583000)","26,058","10,921","          2.39","12,791","13,267","          0.96"
"서울특별시 광진구 자양제3동(1121584000)","28,859","10,823","          2.67","13,877","14,982","          0.93"
"서울특별시 광진구 자양제4동(1121584700)","18,006","9,217","          1.95","9,016","8,990","          1.00"
"서울특별시 광진구 구의제1동(1121585000)","22,004","11,561","          1.90","10,508","11,496","          0.91"
"서울특별시 광진구 구의제2동(1121586000)","27,071","11,353","          2.38","13,065","14,006","          0.93"
"서울특별시 광진구 구의제3동(1121587000)","29,443","11,903","          2.47","14,037","15,406","          0.91"
