"행정구역","2022년_거주자 인구수","2022년_세대수","2022년_세대당 인구","2022년_남자 인구수","2022년_여자 인구수","2022년_남여 비율"
"서울특별시 서울특별시 광진구 (1121500000)","334,978","167,497","          2.00","161,294","173,684","          0.93"
"서울특별시 광진구 화양동(1121571000)","23,204","17,985","          1.29","11,003","12,201","          0.90"
"서울특별시 광진구 군자동(1121573000)","19,282","11,277","          1.71","9,523","9,759","          0.98"
"서울특별시 광진구 중곡제1동(1121574000)","15,225","8,442","          1.80","7,281","7,944","          0.92"
"서울특별시 광진구 중곡제2동(1121575000)","20,848","10,548","          1.98","9,826","11,022","          0.89"
"서울특별시 광진구 중곡제3동(1121576000)","15,828","8,424","          1.88","7,843","7,985","          0.98"
"서울특별시 광진구 중곡제4동(1121577000)","27,848","12,994","          2.14","13,625","14,223","          0.96"
"서울특별시 광진구 능동(1121578000)","11,093","6,344","          1.75","5,095","5,998","          0.85"
"서울특별시 광진구 광장동(1121581000)","33,933","11,676","          2.91","16,414","17,519","          0.94"
"서울특별시 광진구 자양제1동(1121582000)","21,720","11,801","          1.84","10,565","11,155","          0.95"
"서울특별시 광진구 자양제2동(1121583000)","23,736","10,724","          2.21","11,520","12,216","          0.94"
"서울특별시 광진구 자양제3동(1121584000)","27,361","10,886","          2.51","13,069","14,292","          0.91"
"서울특별시 광진구 자양제4동(1121584700)","17,778","10,081","          1.76","8,827","8,951","          0.99"
"서울특별시 광진구 구의제1동(1121585000)","23,255","12,971","          1.79","11,071","12,184","          0.91"
"서울특별시 광진구 구의제2동(1121586000)","25,845","11,376","          2.27","12,418","13,427","          0.92"
"서울특별시 광진구 구의제3동(1121587000)","28,022","11,968","          2.34","13,214","14,808","          0.89"
