"행정구역","2021년_거주자 인구수","2021년_세대수","2021년_세대당 인구","2021년_남자 인구수","2021년_여자 인구수","2021년_남여 비율"
"서울특별시 서울특별시 광진구 (1121500000)","336,447","165,305","          2.04","162,207","174,240","          0.93"
"서울특별시 광진구 화양동(1121571000)","22,828","17,506","          1.30","10,862","11,966","          0.91"
"서울특별시 광진구 군자동(1121573000)","19,373","11,142","          1.74","9,559","9,814","          0.97"
"서울특별시 광진구 중곡제1동(1121574000)","15,335","8,252","          1.86","7,422","7,913","          0.94"
"서울특별시 광진구 중곡제2동(1121575000)","21,222","10,496","          2.02","9,996","11,226","          0.89"
"서울특별시 광진구 중곡제3동(1121576000)","15,931","8,304","          1.92","7,899","8,032","          0.98"
"서울특별시 광진구 중곡제4동(1121577000)","28,265","12,946","          2.18","13,844","14,421","          0.96"
"서울특별시 광진구 능동(1121578000)","11,165","6,299","          1.77","5,144","6,021","          0.85"
"서울특별시 광진구 광장동(1121581000)","34,365","11,733","          2.93","16,640","17,725","          0.94"
"서울특별시 광진구 자양제1동(1121582000)","22,056","11,738","          1.88","10,698","11,358","          0.94"
"서울특별시 광진구 자양제2동(1121583000)","24,355","10,799","          2.26","11,806","12,549","          0.94"
"서울특별시 광진구 자양제3동(1121584000)","27,819","10,941","          2.54","13,284","14,535","          0.91"
"서울특별시 광진구 자양제4동(1121584700)","17,712","9,750","          1.82","8,803","8,909","          0.99"
"서울특별시 광진구 구의제1동(1121585000)","21,359","12,007","          1.78","10,142","11,217","          0.90"
"서울특별시 광진구 구의제2동(1121586000)","26,269","11,401","          2.30","12,677","13,592","          0.93"
"서울특별시 광진구 구의제3동(1121587000)","28,393","11,991","          2.37","13,431","14,962","          0.90"
