"행정구역","2020년_거주자 인구수","2020년_세대수","2020년_세대당 인구","2020년_남자 인구수","2020년_여자 인구수","2020년_남여 비율"
"서울특별시 서울특별시 광진구 (1121500000)","341,534","163,402","          2.09","164,828","176,706","          0.93"
"서울특별시 광진구 화양동(1121571000)","22,178","16,646","          1.33","10,492","11,686","          0.90"
"서울특별시 광진구 군자동(1121573000)","19,625","10,911","          1.80","9,677","9,948","          0.97"
"서울특별시 광진구 중곡제1동(1121574000)","15,519","8,119","          1.91","7,555","7,964","          0.95"
"서울특별시 광진구 중곡제2동(1121575000)","21,644","10,392","          2.08","10,260","11,384","          0.90"
"서울특별시 광진구 중곡제3동(1121576000)","16,394","8,339","          1.97","8,145","8,249","          0.99"
"서울특별시 광진구 중곡제4동(1121577000)","28,975","12,947","          2.24","14,225","14,750","          0.96"
"서울특별시 광진구 능동(1121578000)","11,426","6,361","          1.80","5,249","6,177","          0.85"
"서울특별시 광진구 광장동(1121581000)","35,065","11,836","          2.96","16,950","18,115","          0.94"
"서울특별시 광진구 자양제1동(1121582000)","22,413","11,568","          1.94","10,756","11,657","          0.92"
"서울특별시 광진구 자양제2동(1121583000)","25,254","10,915","          2.31","12,330","12,924","          0.95"
"서울특별시 광진구 자양제3동(1121584000)","28,349","10,953","          2.59","13,597","14,752","          0.92"
"서울특별시 광진구 자양제4동(1121584700)","17,402","9,182","          1.90","8,655","8,747","          0.99"
"서울특별시 광진구 구의제1동(1121585000)","21,744","11,872","          1.83","10,372","11,372","          0.91"
"서울특별시 광진구 구의제2동(1121586000)","26,591","11,404","          2.33","12,800","13,791","          0.93"
"서울특별시 광진구 구의제3동(1121587000)","28,955","11,957","          2.42","13,765","15,190","          0.91"
